id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,40.81877922,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,272637123,488630611,11128714511,0.0062,42,83,0,2020-04-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,15,-1,56.06023734,2021-05-18T00:00:00Z,627371301,1.94998342,0.0502,-185042108.5,-0.2278,531637869.7,0.0502,
MATIC,MATIC,MATIC,Polygon,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/matic.png,active,1.67267254,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,6293422325,10000000000,10526834682,0.0059,91,258,4,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,2019-04-26T00:00:00Z,16,1,2.449341,2021-05-18T00:00:00Z,2735029565,0.164985,0.1094,512619854.9,0.2307,1038320259,0.1094,
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00159619,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,9435172955,9435172955,9450233324,0.0053,57,1559,3318,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,17,-1,1.0179705,2020-03-12T00:00:00Z,3367345081,0.00095619,0.001,-1146588334,-0.254,-129169211.1,-0.0135,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,9.10020099,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,1000000000,1000000000,9100200992,0.0051,45,109,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,18,1,14.45712241,2021-04-16T00:00:00Z,288429321.3,0.19999932,0.0225,-233226605.3,-0.4471,199999319.6,0.0225,
SHIB,SHIB,SHIB,Shiba Inu,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHIB.png,active,0.00000888,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,1E+15,1E+15,8883834177,0.0049,57,95,9,2020-08-08T00:00:00Z,2021-04-17T00:00:00Z,2021-02-01T00:00:00Z,19,5,0.00193645,2020-11-08T00:00:00Z,552473521.7,0.00000203,0.2967,-84492730.04,-0.1326,2032735935,0.2967,
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,61.69188002,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,134693727,470334576,8309509224,0.0046,30,49,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,20,-2,455.0628864,2021-05-05T00:00:00Z,404563155.6,-6.24681583,-0.0919,-38400325.92,-0.0867,-790745289.6,-0.0869,2021-03-24T00:11:30.852913Z
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.34245125,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,23133935211,50000000000,7922245004,0.0044,161,477,64,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,21,-1,0.89716306,2018-01-03T00:00:00Z,786006348.7,0.00492681,0.0146,-60270289.77,-0.0712,113132639.8,0.0145,
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,41071.8468,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,188961,188961,7760970582,0.0043,67,383,53,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,22,-1,63514.20186,2021-04-13T00:00:00Z,213346733.7,1335.143274,0.0336,-165844878.2,-0.4374,252289791.6,0.0336,
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,58.88735631,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,127911974,210700000,7532397985,0.0042,153,622,103,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,23,-1,134.4810214,2021-05-06T00:00:00Z,2332764851,0.48132086,0.0082,-955853391.6,-0.2907,62764848.38,0.0084,
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.11319681,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,65241752869,86712634466,7385158153,0.0041,57,171,1,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,24,-1,0.25429719,2021-04-18T00:00:00Z,820120875.5,0.00145623,0.013,-137659632.2,-0.1437,95006972,0.013,
Others,Others,Others,Algorand,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ALGO.png,active,1.05864325,2021-06-15T00:00:00Z,2021-06-15T18:42:00Z,5560239641,10000000000,1.69479E+11,0.0947,70,164,0,2019-06-19T00:00:00Z,2019-06-21T00:00:00Z,2019-06-19T00:00:00Z,25,1,3.00378162,2019-06-19T00:00:00Z,331732573.2,0.01527243,0.0146,-24060439.84,-0.0676,86308630.59,0.0149,
